id,name,latitude,longitude,state,city,start_month,start_month_num,year
site_1406,"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,Andhra Pradesh,Amaravati,November,11,2017
site_5632,"Gulzarpet, Anantapur - APPCB",14.675885999999998,77.593027,Andhra Pradesh,Anantapur,August,8,2022
site_5665,"Gangineni Cheruvu, Chittoor - APPCB",13.20488,79.097889,Andhra Pradesh,Chittoor,November,11,2022
site_5693,"Yerramukkapalli, Kadapa - APPCB",14.465051999999998,78.824187,Andhra Pradesh,Kadapa,January,1,2023
site_1399,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.9872867,81.73631759999999,Andhra Pradesh,Rajamahendravaram,September,9,2017
site_258,"Tirumala, Tirupati - APPCB",13.67,79.35,Andhra Pradesh,Tirupati,June,6,2016
site_5666,"Vaikuntapuram, Tirupati - APPCB",13.615387,79.40923000000001,Andhra Pradesh,Tirupati,November,11,2022
site_257,"PWD Grounds, Vijayawada - APPCB",16.507014,80.627767,Andhra Pradesh,Vijayawada,April,4,2017
site_5685,"Kanuru, Vijayawada - APPCB",16.486692,80.69943599999999,Andhra Pradesh,Vijayawada,January,1,2023
site_260,"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3,Andhra Pradesh,Visakhapatnam,January,1,2017
site_5446,"Naharlagun, Naharlagun - APSPCB",27.103358,93.679645,Arunachal Pradesh,Naharlagun,March,3,2021
site_5669,"Central Academy for SFS, Byrnihat - PCBA",26.071317999999998,91.87488,Assam,Byrnihat,December,12,2022
site_5073,"Railway Colony, Guwahati - PCBA",26.181742,91.78063,Assam,Guwahati,February,2,2019
site_5417,"Pan Bazaar, Guwahati - PCBA",26.1875,91.744194,Assam,Guwahati,December,12,2020
site_5651,"IITG, Guwahati - PCBA",26.202863600000004,91.70046436,Assam,Guwahati,September,9,2022
site_5683,"LGBI Airport, Guwahati - PCBA",26.10887,91.58954399999999,Assam,Guwahati,December,12,2022
site_5706,"Christianpatty, Nagaon - PCBA",26.349082,92.68449,Assam,Nagaon,February,2,2023
site_5668,"Bata Chowk, Nalbari - PCBA",26.446912,91.43905699999999,Assam,Nalbari,November,11,2022
site_5684,"Tarapur, Silchar - PCBA",24.82827,92.79525,Assam,Silchar,January,1,2023
site_5658,"Girls College, Sivasagar - PCBA",26.987634000000003,94.636574,Assam,Sivasagar,September,9,2022
site_5539,"Kharahiya Basti, Araria - BSPCB",26.146529,87.454184,Bihar,Araria,November,11,2021
site_5538,"New DM Office, Arrah - BSPCB",25.5626095,84.663264,Bihar,Arrah,December,12,2021
site_5544,"Gurdeo Nagar, Aurangabad - BSPCB",24.757460000000002,84.366208,Bihar,Aurangabad,November,11,2021
site_5540,"DRCC Anandpur, Begusarai - BSPCB",25.444266,86.140169,Bihar,Begusarai,April,4,2022
site_5476,"Kamalnath Nagar, Bettiah - BSPCB",26.80365,84.51954,Bihar,Bettiah,July,7,2021
site_5541,"Mayaganj, Bhagalpur - BSPCB",25.265194,87.012947,Bihar,Bhagalpur,November,11,2021
site_5543,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25.251013,86.989001,Bihar,Bhagalpur,November,11,2021
site_5481,"D M Colony, Bihar Sharif - BSPCB",25.204762,85.51496,Bihar,Bihar Sharif,July,7,2021
site_5542,"Central Jail, Buxar - BSPCB",25.555605,83.950942,Bihar,Buxar,November,11,2021
site_5545,"Darshan Nagar, Chhapra - BSPCB",25.780825699999998,84.7446768,Bihar,Chhapra,November,11,2021
site_5477,"Town Hall - Lal Bagh, Darbhanga - BSPCB",26.15146,85.89341999999999,Bihar,Darbhanga,July,7,2021
site_159,"Collectorate, Gaya - BSPCB",24.7955,84.9994,Bihar,Gaya,November,11,2015
site_5338,"SFTI Kusdihra, Gaya - BSPCB",24.762518,84.982348,Bihar,Gaya,February,2,2020
site_5548,"Kareemganj, Gaya - BSPCB",24.792403,84.992416,Bihar,Gaya,November,11,2021
site_5337,"Industrial Area, Hajipur - BSPCB",25.697189,85.2459,Bihar,Hajipur,February,2,2020
site_5546,"Mirchaibari, Katihar - BSPCB",25.560083,87.553265,Bihar,Katihar,November,11,2021
site_5547,"SDM Office_Khagra, Kishanganj - BSPCB",26.0881305,87.93840336,Bihar,Kishanganj,November,11,2021
site_5550,"Forest Rest House, Manguraha - BSPCB",27.308328000000003,84.53174200000001,Bihar,Manguraha,November,11,2021
site_5478,"Gandak Colony, Motihari - BSPCB",26.63086,84.90051,Bihar,Motihari,July,7,2021
site_5490,"Town Hall, Munger - BSPCB",25.376776,86.471523,Bihar,Munger,July,7,2021
site_158,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",26.1209,85.3647,Bihar,Muzaffarpur,September,9,2015
site_5370,"Buddha Colony, Muzaffarpur - BSPCB",26.114420000000003,85.39813000000001,Bihar,Muzaffarpur,August,8,2020
site_5479,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26.1403345,85.3650192,Bihar,Muzaffarpur,July,7,2021
site_5261,"Muradpur, Patna - BSPCB",25.619651,85.147382,Bihar,Patna,December,12,2019
site_157,"IGSC Planetarium Complex, Patna - BSPCB",25.5941,85.1376,Bihar,Patna,June,6,2012
site_5262,"Rajbansi Nagar, Patna - BSPCB",25.599486,85.11366600000001,Bihar,Patna,December,12,2019
site_5263,"Samanpura, Patna - BSPCB",25.596726999999998,85.085624,Bihar,Patna,December,12,2019
site_5335,"Govt. High School Shikarpur, Patna - BSPCB",25.592539000000002,85.227158,Bihar,Patna,March,3,2020
site_5336,"DRM Office Danapur, Patna - BSPCB",25.586562,85.043586,Bihar,Patna,February,2,2020
site_5549,"Mariam Nagar, Purnia - BSPCB",25.366335999999997,87.117468,Bihar,Purnia,November,11,2021
site_5489,"Dangi Tola, Rajgir - BSPCB",25.0328,85.41948000000001,Bihar,Rajgir,July,7,2021
site_5551,"Police Line, Saharsa - BSPCB",25.892357,86.590325,Bihar,Saharsa,November,11,2021
site_5552,"DM Office_Kasipur, Samastipur - BSPCB",25.859655,85.77944000000001,Bihar,Samastipur,March,3,2022
site_5485,"Dada Peer, Sasaram - BSPCB",24.952822,84.00239599999999,Bihar,Sasaram,July,7,2021
site_5553,"Chitragupta Nagar, Siwan - BSPCB",26.2271665,84.35704270000001,Bihar,Siwan,November,11,2021
site_5127,"Sector-25, Chandigarh - CPCC",30.751462,76.762879,Chandigarh,Chandigarh,August,8,2019
site_5491,"Sector 22, Chandigarh - CPCC",30.735567,76.77571400000001,Chandigarh,Chandigarh,August,8,2021
site_5582,"Sector-53, Chandigarh - CPCC",30.719859000000003,76.738637,Chandigarh,Chandigarh,January,1,2022
site_5536,"Civic Center, Bhilai - Bhilai Steel Plant",21.185571,81.343175,Chhattisgarh,Bhilai,November,11,2021
site_5659,"Hathkhoj, Bhilai - CECB",21.224231,81.40835,Chhattisgarh,Bhilai,October,10,2022
site_5660,"32Bungalows, Bhilai - CECB",21.194815,81.31477,Chhattisgarh,Bhilai,October,10,2022
site_5503,"Mangala, Bilaspur - NTPC",22.08815,82.13736999999999,Chhattisgarh,Bilaspur,September,9,2021
site_5689,"Nawapara SECL Colony, Chhal - CECB",22.118125,83.140608,Chhattisgarh,Chhal,January,1,2023
site_5656,"Rampur, Korba - CECB",22.368195,82.746431,Chhattisgarh,Korba,October,10,2022
site_5657,"Urja Nagar, Korba - CECB",22.348441,82.549611,Chhattisgarh,Korba,October,10,2022
site_5690,"OP Jindal School, Kunjemura - CECB",22.12665,83.483212,Chhattisgarh,Kunjemura,January,1,2023
site_5691,"Govt. Higher Secondary School, Milupara - CECB",22.191017199999997,83.5197009,Chhattisgarh,Milupara,January,1,2023
site_5652,"AIIMS, Raipur - CECB",21.258815,81.578979,Chhattisgarh,Raipur,October,10,2022
site_5653,"Siltara Phase-II, Raipur - CECB",21.371751,81.664929,Chhattisgarh,Raipur,October,10,2022
site_5654,"Krishak Nagar, Raipur - CECB",21.237755,81.705301,Chhattisgarh,Raipur,October,10,2022
site_5655,"Bhatagaon New ISBT, Raipur - CECB",21.219665,81.630094,Chhattisgarh,Raipur,October,10,2022
site_5692,"OP Jindal Industrial Park, Tumidih - CECB",22.06631475,83.33820077,Chhattisgarh,Tumidih,January,1,2023
site_119,"Sirifort, Delhi - CPCB",28.5504249,77.2159377,Delhi,Delhi,January,1,2010
site_5395,"Lodhi Road, Delhi - IITM",28.588333000000002,77.22166700000001,Delhi,Delhi,November,11,2020
site_118,"DTU, Delhi - CPCB",28.7500499,77.1112615,Delhi,Delhi,January,1,2010
site_106,"IGI Airport (T3), Delhi - IMD",28.562776300000003,77.1180053,Delhi,Delhi,December,12,2013
site_107,"Pusa, Delhi - IMD",28.639645,77.146263,Delhi,Delhi,May,5,2010
site_108,"Aya Nagar, Delhi - IMD",28.4706914,77.10993640000001,Delhi,Delhi,September,9,2010
site_109,"Lodhi Road, Delhi - IMD",28.5918245,77.2273074,Delhi,Delhi,January,1,2014
site_115,"NSIT Dwarka, Delhi - CPCB",28.609090000000002,77.03254129999999,Delhi,Delhi,January,1,2010
site_117,"ITO, Delhi - CPCB",28.628624,77.24106,Delhi,Delhi,January,1,2010
site_103,"CRRI Mathura Road, Delhi - IMD",28.5512005,77.27357370000001,Delhi,Delhi,August,8,2010
site_105,"North Campus, DU, Delhi - IMD",28.657381400000002,77.15854470000001,Delhi,Delhi,February,2,2010
site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",28.681173600000005,77.30252340000001,Delhi,Delhi,January,1,2010
site_104,"Burari Crossing, Delhi - IMD",28.725650399999996,77.20115729999999,Delhi,Delhi,March,3,2010
site_113,"Shadipur, Delhi - CPCB",28.651478100000002,77.1473105,Delhi,Delhi,January,1,2010
site_122,"Mandir Marg, Delhi - DPCC",28.636428999999996,77.20106700000001,Delhi,Delhi,April,4,2011
site_124,"R K Puram, Delhi - DPCC",28.563261999999998,77.186937,Delhi,Delhi,April,4,2011
site_125,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,Delhi,Delhi,April,4,2011
site_116,"East Arjun Nagar, Delhi - CPCB",28.655934999999996,77.294904,Delhi,Delhi,November,11,2017
site_301,"Anand Vihar, Delhi - DPCC",28.647622,77.315809,Delhi,Delhi,July,7,2012
site_1420,"Ashok Vihar, Delhi - DPCC",28.695381,77.181665,Delhi,Delhi,February,2,2018
site_1421,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571000000002,77.26484,Delhi,Delhi,February,2,2018
site_1422,"Dwarka-Sector 8, Delhi - DPCC ",28.5710274,77.07190059999999,Delhi,Delhi,February,2,2018
site_1423,"Jahangirpuri, Delhi - DPCC",28.73282,77.170633,Delhi,Delhi,February,2,2018
site_1424,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829,Delhi,Delhi,February,2,2018
site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611280999999998,77.23773800000001,Delhi,Delhi,February,2,2018
site_1426,"Narela, Delhi - DPCC",28.822836,77.10198100000001,Delhi,Delhi,February,2,2018
site_1427,"Najafgarh, Delhi - DPCC",28.570172999999997,76.933762,Delhi,Delhi,February,2,2018
site_1428,"Okhla Phase-2, Delhi - DPCC",28.530784999999998,77.27125500000001,Delhi,Delhi,February,2,2018
site_1429,"Nehru Nagar, Delhi - DPCC",28.567890000000002,77.25051500000001,Delhi,Delhi,February,2,2018
site_1430,"Rohini, Delhi - DPCC",28.732528000000002,77.11992,Delhi,Delhi,February,2,2018
site_1431,"Patparganj, Delhi - DPCC",28.623763,77.28720899999999,Delhi,Delhi,February,2,2018
site_1432,"Sonia Vihar, Delhi - DPCC",28.710508,77.24948499999999,Delhi,Delhi,February,2,2018
site_1434,"Wazirpur, Delhi - DPCC",28.699793,77.165453,Delhi,Delhi,February,2,2018
site_1435,"Vivek Vihar, Delhi - DPCC",28.672341999999997,77.31526,Delhi,Delhi,February,2,2018
site_1560,"Bawana, Delhi - DPCC",28.7762,77.051074,Delhi,Delhi,July,7,2018
site_1561,"Mundka, Delhi - DPCC",28.684678,77.076574,Delhi,Delhi,July,7,2018
site_1562,"Sri Aurobindo Marg, Delhi - DPCC",28.531346000000003,77.190156,Delhi,Delhi,July,7,2018
site_1563,"Pusa, Delhi - DPCC",28.639645,77.146262,Delhi,Delhi,July,7,2018
site_5024,"Alipur, Delhi - DPCC",28.815329,77.15301,Delhi,Delhi,November,11,2018
site_5393,"Chandni Chowk, Delhi - IITM",28.656756,77.227234,Delhi,Delhi,November,11,2020
site_308,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Gujarat,Ahmedabad,October,10,2010
site_5449,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",23.04307,72.56296800000001,Gujarat,Ahmedabad,June,6,2021
site_5450,"Gyaspur, Ahmedabad - IITM",22.977134,72.553024,Gujarat,Ahmedabad,June,6,2021
site_5451,"Rakhial, Ahmedabad - IITM",23.016834,72.625775,Gujarat,Ahmedabad,June,6,2021
site_5452,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,Gujarat,Ahmedabad,June,6,2021
site_5453,"Chandkheda, Ahmedabad - IITM",23.107969,72.574648,Gujarat,Ahmedabad,June,6,2021
site_5454,"SAC ISRO Bopal, Ahmedabad - IITM",23.041137,72.456691,Gujarat,Ahmedabad,June,6,2021
site_5455,"SAC ISRO Satellite, Ahmedabad - IITM",23.023389,72.515201,Gujarat,Ahmedabad,June,6,2021
site_5456,"SVPI Airport Hansol, Ahmedabad - IITM",23.076793,72.627874,Gujarat,Ahmedabad,June,6,2021
site_5065,"GIDC, Ankleshwar - GPCB",21.613267,73.01055500000001,Gujarat,Ankleshwar,February,2,2019
site_5066,"Sector-10, Gandhinagar - GPCB",23.221714000000002,72.654328,Gujarat,Gandhinagar,February,2,2019
site_5457,"IIPHG Lekawada, Gandhinagar - IITM",23.243639,72.68994,Gujarat,Gandhinagar,June,6,2021
site_5458,"GIFT City, Gandhinagar - IITM",23.163798,72.677768,Gujarat,Gandhinagar,June,6,2021
site_5274,"GIDC, Nandesari - Nandesari Ind. Association",22.410802,73.097923,Gujarat,Nandesari,January,1,2020
site_5664,"Science Center, Surat - SMC",21.170046,72.795405,Gujarat,Surat,November,11,2022
site_5071,"Phase-1 GIDC, Vapi - GPCB",20.362420999999998,72.918013,Gujarat,Vapi,February,2,2019
site_5067,"Phase-4 GIDC, Vatva - GPCB",22.969610999999997,72.6435,Gujarat,Vatva,February,2,2019
site_5052,"Patti Mehar, Ambala - HSPCB",30.379589000000003,76.778328,Haryana,Ambala,January,1,2019
site_5045,"Arya Nagar, Bahadurgarh - HSPCB",28.6701,76.9254,Haryana,Bahadurgarh,January,1,2019
site_5060,"Nathu Colony, Ballabgarh - HSPCB",28.3419248,77.319699,Haryana,Ballabgarh,January,1,2019
site_5047,"H.B. Colony, Bhiwani - HSPCB",28.806223,76.14110500000001,Haryana,Bhiwani,January,1,2019
site_5339,"Mini Secretariat, Charkhi Dadri - HSPCB",28.593883,76.270653,Haryana,Charkhi Dadri,March,3,2020
site_5044,"Municipal Corporation Office, Dharuhera -  HSPCB",28.2068,76.7997,Haryana,Dharuhera,January,1,2019
site_263,"Sector- 16A, Faridabad - HSPCB",28.408842100000005,77.30990809999999,Haryana,Faridabad,August,8,2010
site_5340,"New Industrial Town, Faridabad - HSPCB",28.39072,77.30059,Haryana,Faridabad,March,3,2020
site_5341,"Sector 30, Faridabad - HSPCB",28.4417,77.3217,Haryana,Faridabad,March,3,2020
site_5342,"Sector 11, Faridabad - HSPCB",28.376058,77.315741,Haryana,Faridabad,March,3,2020
site_5054,"Huda Sector, Fatehabad - HSPCB",29.503664,75.467934,Haryana,Fatehabad,January,1,2019
site_5345,"Sector-51, Gurugram - HSPCB",28.4227,77.0667,Haryana,Gurugram,March,3,2020
site_146,"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,Haryana,Gurugram,November,11,2015
site_5025,"NISE Gwal Pahari, Gurugram - IMD",28.422681,77.148944,Haryana,Gurugram,October,10,2016
site_5344,"Teri Gram, Gurugram - HSPCB",28.4275,77.1465,Haryana,Gurugram,March,3,2020
site_5057,"Urban Estate-II, Hisar - HSPCB",29.140559999999997,75.744941,Haryana,Hisar,January,1,2019
site_5056,"Police Lines, Jind - HSPCB",29.307814,76.33761899999999,Haryana,Jind,January,1,2019
site_5072,"Rishi Nagar, Kaithal - HSPCB",29.8006,76.4155,Haryana,Kaithal,February,2,2019
site_5049,"Sector-12, Karnal - HSPCB",29.6953,77.0027,Haryana,Karnal,January,1,2019
site_5043,"Sector-7, Kurukshetra - HSPCB",29.966942,76.875879,Haryana,Kurukshetra ,January,1,2019
site_5055,"General Hospital, Mandikhera - HSPCB",27.9002,76.9938,Haryana,Mandikhera,January,1,2019
site_5039,"Sector-2 IMT, Manesar - HSPCB",28.360699,76.93609000000001,Haryana,Manesar,December,12,2018
site_5053,"Shastri Nagar, Narnaul - HSPCB",28.060249,76.11311500000001,Haryana,Narnaul,January,1,2019
site_5050,"Shyam Nagar, Palwal - HSPCB",28.1485564,77.3320667,Haryana,Palwal ,January,1,2019
site_161,"Sector-6, Panchkula - HSPCB ",30.7057778,76.8531805555555,Haryana,Panchkula,November,11,2015
site_5048,"Sector-18, Panipat - HSPCB",29.497972999999998,76.99333100000001,Haryana,Panipat,January,1,2019
site_147,"MD University, Rohtak - HSPCB",28.52123,76.37138,Haryana,Rohtak,December,12,2015
site_5051,"F-Block, Sirsa - HSPCB",29.5364,75.0158,Haryana,Sirsa,January,1,2019
site_5041,"Murthal, Sonipat - HSPCB",29.0272,77.0621,Haryana,Sonipat,December,12,2018
